223	1397	223	1397	223	1397	223	1397	223	1398	223	1398	223	1398	224	1405	223	1397	224	1405	382	2673	382	2673	382	2673	223	1398	223	1398	223	1398	381	2667	381	2667	381	2667	223	1398	223	1398	223	1398
135	722	134	714	134	714	134	714	134	715	134	715	134	715	135	722	134	714	135	722	352	2463	352	2463	352	2463	134	715	134	715	134	715	351	2457	351	2457	351	2457	134	715	134	715	134	715
135	722	134	714	134	714	134	714	134	715	134	715	134	715	135	722	134	714	135	722	352	2463	352	2463	352	2463	134	715	134	715	134	715	351	2457	351	2457	351	2457	134	715	134	715	134	715
212	1453	211	1445	211	1445	211	1445	211	1446	211	1446	211	1446	212	1453	212	1453	212	1453	241	1686	241	1686	241	1686	211	1446	211	1446	211	1446	240	1680	240	1680	240	1680	211	1446	211	1446	211	1446
243	1628	242	1620	242	1620	242	1620	242	1621	242	1621	242	1621	243	1628	243	1628	243	1628	314	2197	314	2197	314	2197	242	1621	242	1621	242	1621	313	2191	313	2191	313	2191	242	1621	242	1621	242	1621
243	1628	242	1620	242	1620	242	1620	242	1621	242	1621	242	1621	243	1628	243	1628	243	1628	314	2197	314	2197	314	2197	242	1621	242	1621	242	1621	313	2191	313	2191	313	2191	242	1621	242	1621	242	1621
216	1189	216	1189	216	1189	216	1189	216	1190	216	1190	216	1190	216	1189	217	1197	217	1197	532	3723	532	3723	532	3723	216	1190	216	1190	216	1190	531	3717	531	3717	531	3717	216	1190	216	1190	216	1190
128	858	127	850	127	850	127	850	126	844	126	844	126	844	128	858	128	858	127	850	164	1147	164	1147	164	1147	126	844	126	844	126	844	163	1141	163	1141	163	1141	126	844	126	844	126	844
327	2101	327	2101	327	2101	327	2101	324	2081	324	2081	324	2081	328	2109	327	2101	328	2109	437	2985	435	2969	435	2969	324	2081	324	2081	324	2081	507	3549	507	3549	507	3549	324	2081	324	2081	324	2081
265	1732	264	1724	264	1724	264	1724	264	1725	264	1725	264	1725	265	1732	265	1732	265	1732	385	2694	385	2694	385	2694	264	1725	264	1725	264	1725	384	2688	384	2688	384	2688	264	1725	264	1725	264	1725
265	1732	264	1724	264	1724	264	1724	264	1725	264	1725	264	1725	265	1732	265	1732	265	1732	385	2694	385	2694	385	2694	264	1725	264	1725	264	1725	384	2688	384	2688	384	2688	264	1725	264	1725	264	1725
150	829	149	821	149	821	149	821	149	822	149	822	149	822	150	829	150	829	150	829	364	2547	364	2547	364	2547	149	822	149	822	149	822	363	2541	363	2541	363	2541	149	822	149	822	149	822
190	1052	189	1044	189	1044	189	1044	189	1045	189	1045	189	1045	190	1052	190	1052	190	1052	461	3226	461	3226	461	3226	189	1045	189	1045	189	1045	460	3220	460	3220	460	3220	189	1045	189	1045	189	1045
247	1595	247	1595	247	1595	247	1595	246	1589	246	1589	246	1589	248	1603	248	1603	247	1595	374	2617	374	2617	374	2617	246	1589	246	1589	246	1589	373	2611	373	2611	373	2611	246	1589	246	1589	246	1589
173	1040	172	1032	172	1032	172	1032	172	1033	172	1033	172	1033	173	1040	173	1040	173	1040	339	2372	339	2372	339	2372	172	1033	172	1033	172	1033	338	2366	338	2366	338	2366	172	1033	172	1033	172	1033
172	1032	172	1032	172	1032	172	1032	172	1033	172	1033	172	1033	173	1040	173	1040	173	1040	339	2372	339	2372	339	2372	172	1033	172	1033	172	1033	338	2366	338	2366	338	2366	172	1033	172	1033	172	1033
229	1471	227	1455	227	1455	227	1455	233	1506	233	1506	233	1506	228	1463	228	1463	229	1471	310	2124	295	2004	295	2004	233	1506	233	1506	233	1506	352	2464	352	2464	352	2464	233	1506	233	1506	233	1506
249	1535	248	1527	248	1527	248	1527	248	1528	248	1528	248	1528	249	1535	249	1535	249	1535	451	3156	451	3156	451	3156	248	1528	248	1528	248	1528	450	3150	450	3150	450	3150	248	1528	248	1528	248	1528
238	1533	237	1525	237	1525	237	1525	237	1526	237	1526	237	1526	238	1533	238	1533	238	1533	367	2568	367	2568	367	2568	237	1526	237	1526	237	1526	366	2562	366	2562	366	2562	237	1526	237	1526	237	1526
160	1083	159	1075	159	1075	159	1075	159	1076	159	1076	159	1076	160	1083	160	1083	160	1083	195	1364	195	1364	195	1364	159	1076	159	1076	159	1076	194	1358	194	1358	194	1358	159	1076	159	1076	159	1076
