7	48	48	0	242	0	242	0	242	0	242	0	0	0	0	0	0	0	242	0	242	0	242	0	158	0	158	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240.875
8	44	44	0	152	0	138	0	138	0	138	0	156	0	156	0	156	0	152	0	152	0	152	0	72	0	72	0	72	0	156	0	156	0	156	0	0	0	0	0	0	0	156	0	156	0	156	0	156	0	159.25
8	44	44	0	152	0	138	0	138	0	138	0	156	0	156	0	156	0	152	0	152	0	152	0	72	0	72	0	72	0	156	0	156	0	156	0	0	0	0	0	0	0	156	0	156	0	156	0	156	0	159.25
4	30	30	0	116	0	116	0	116	0	116	0	0	0	0	0	0	0	116	0	116	0	116	0	56	0	56	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212.75
4	39	39	0	136	0	136	0	136	0	136	0	0	0	0	0	0	0	136	0	136	0	136	0	64	0	64	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249
4	39	39	0	136	0	136	0	136	0	136	0	0	0	0	0	0	0	136	0	136	0	136	0	64	0	64	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249
9	67	67	0	236	0	236	0	236	0	236	0	0	0	0	0	0	0	236	0	236	0	236	0	166	0	166	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253.5
4	21	21	0	34	0	93	0	93	0	93	0	0	0	0	0	0	0	34	0	34	0	34	0	56	0	56	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129.625
9	64	64	0	274	0	323	0	323	0	323	0	0	0	0	0	0	0	274	0	274	0	274	0	376	0	376	0	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345.875
5	48	48	0	279	0	279	0	279	0	279	0	0	0	0	0	0	0	279	0	279	0	279	0	185	0	185	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277.125
5	48	48	0	279	0	279	0	279	0	279	0	0	0	0	0	0	0	279	0	279	0	279	0	185	0	185	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277.125
9	46	46	0	118	0	129	0	129	0	129	0	145	0	145	0	145	0	118	0	118	0	118	0	100	0	100	0	100	0	145	0	145	0	145	0	0	0	0	0	0	0	145	0	145	0	145	0	145	0	173.875
9	58	58	0	175	0	207	0	207	0	207	0	225	0	225	0	225	0	175	0	175	0	175	0	123	0	123	0	123	0	225	0	225	0	225	0	0	0	0	0	0	0	225	0	225	0	225	0	225	0	221
9	47	47	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	146	0	146	0	57	0	57	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260.875
7	43	43	0	135	0	199	0	199	0	199	0	0	0	0	0	0	0	135	0	135	0	135	0	122	0	122	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190.875
7	43	43	0	135	0	199	0	199	0	199	0	0	0	0	0	0	0	135	0	135	0	135	0	122	0	122	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190.875
10	44	44	0	112	0	108	0	108	0	108	0	0	0	0	0	0	0	112	0	112	0	112	0	224	0	224	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239.875
8	57	57	0	246	0	246	0	246	0	246	0	0	0	0	0	0	0	246	0	246	0	246	0	148	0	148	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271.375
6	46	46	0	84	0	139	0	139	0	139	0	0	0	0	0	0	0	84	0	84	0	84	0	55	0	55	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251.25
4	25	25	0	122	0	122	0	122	0	122	0	0	0	0	0	0	0	122	0	122	0	122	0	86	0	86	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161.5
